"","imdb_id","original_title","adult","genres.name","original_language","popularity","production_countries.name","release_date","budget","revenue","vote_average","vote_count"
"1:381","tt0191099","Guo Shu Chi Duan","FALSE","Action","zh","1.27","Hong Kong","1974-01-01","0","0","3.5","2"
"1:382","tt0088947","Compromising Positions","FALSE","Comedy","en","1.4","United States of America","1985-08-30","0","0","5.9","8"
"1:383","tt2347542","The Revolution of Responsibility","FALSE",NA,"en","0.6",NA,"2012-10-17","0","0","0","0"
"1:385","tt1404092","Sound Relief - MCG","FALSE",NA,"en","0.6",NA,"2009-03-14","0","0","0","0"
"1:386","tt0276064","Mo nu","FALSE","Horror","en","1.4","Philippines","1970-01-01","0","0","7","1"
"1:388","","Sound Relief - SCG","FALSE",NA,"en","0.6",NA,"2009-03-14","0","0","0","0"
"1:389","tt0091791","Prince of Bel Air","FALSE","Comedy","en","3.251","United States of America","1986-01-20","0","0","5.9","5"
"1:392","tt2247692","2016: Obama's America","FALSE","Documentary","en","3.471","United States of America","2012-07-13","2500000","33400000","4.3","38"
"1:395","","The Dark Angel","FALSE","Horror","en","1.471",NA,"1987-02-01","0","0","7.5","2"
"1:397","tt0022036","腰弁頑張れ","FALSE","Comedy","ja","1.426","Japan","1931-08-08","0","0","6.7","15"
"1:399","tt0024793","夜ごとの夢","FALSE","Drama","ja","1.127","Japan","1933-06-08","0","0","7.3","16"
"1:400","tt0025338","限りなき舗道","FALSE","Drama","ja","1.093","Japan","1934-04-26","0","0","6.6","8"
"1:401","","Pikkoman no Kichikumichi: Mayonaka no Milk Party","TRUE",NA,"de","0.6","Japan","","0","0","0","0"
"1:402","","JYJ: Worldwide Concert in Seoul","FALSE","Music","ko","0.6",NA,"2011-12-23","0","0","10","1"
"1:403","","JYJ: Thanksgiving Live in Dome","FALSE",NA,"ja","0.6",NA,"2010-09-08","0","0","0","0"
"1:406","tt0069434","Ukroshcheniye Ognya","FALSE","Drama","ru","0.852","Russia","1972-04-12","0","0","5.7","7"
"1:408","","2012 YG Family Concert in Japan","FALSE",NA,"en","0.6",NA,"2012-08-08","0","0","0","0"
"1:409","tt0068644","Go Ask Alice","FALSE","Drama","en","2.813","United States of America","1973-01-24","0","0","5.8","16"
"1:410","tt0497034","Lelaki komunis terakhir","FALSE","Documentary","ms","0.742","Netherlands","2006-02-17","0","0","6","5"
"1:411","","Super Junior World Tour - Super Show 4","FALSE","Music","en","0.6",NA,"2013-10-02","0","0","0","0"
"1:412","tt0810954","Jiang cheng xia ri","FALSE","Drama","zh","1.307","China","2006-05-22","0","0","5.8","5"
"1:414","tt0820980","Noise","FALSE","Documentary","fr","1.4","France","2006-06-15","0","0","5.7","3"
"1:416","tt0492489","Somebodies","FALSE",NA,"en","0.6",NA,"2006-01-20","0","0","0","0"
"1:417","tt0264792","Let's Get Skase","FALSE","Comedy","en","0.727","Australia","2001-10-18","0","0","0","0"
"1:422","tt0129470","Twice a Man","FALSE","Drama","en","1.4","United States of America","1963-12-27","0","0","6.2","9"
"1:426","","Jiu-Jitsu World Championships 2012","FALSE",NA,"en","0.6",NA,"2012-06-01","0","0","0","0"
"1:428","tt0199354","不见不散","FALSE","Comedy","zh","1.686","China","1998-08-01","0","0","6.7","13"
"1:429","","Eddy Mitchell: ma dernière séance","FALSE","Music","fr","0.6","France","2011-12-05","0","0","0","0"
