,imdb_id,original_title,adult,genres.name,original_language,popularity,production_countries.name,release_date,budget,revenue,vote_average,vote_count
0.146527778,tt4545144,<U+0412><U+0435><U+0440><U+043F><U+0430><U+0441><U+043A><U+0443><U+043D><U+0433><U+0435><U+043D>,FALSE,Comedy,ru,0.6,Germany,7/06/2014,0,0,8,1
0.147222222,,6.23,FALSE,Drama,ru,0.6,Russia,1/09/2013,0,0,0,0
0.147916667,,Paw Patrol: Winter Rescues,FALSE,Animation,en,2.822,United States of America,7/10/2014,0,0,5.5,2
0.148611111,tt4768586,The Storyteller,FALSE,Drama,en,1.096,United States of America,21/09/2018,0,0,7,4
0.149305556,tt3038052,Malá z rybárny,FALSE,Romance,cs,1.033,Czech Republic,28/05/2015,1690515,0,7.5,4
0.15,,<U+041A><U+0438><U+0440><U+0430>,FALSE,Drama,ru,0.6,Russia,10/06/2015,0,0,0,0
0.151388889,tt2722440,Pepe & Lucas,FALSE,NA,en,0.6,NA,13/07/2012,0,0,0,0
0.152083333,tt2176894,Centipede Sun,FALSE,NA,en,0.6,NA,1/01/2010,0,0,0,0
0.154166667,tt0001315,The Message of the Violin,FALSE,NA,en,0.6,NA,24/10/1910,0,0,0,0
0.154861111,tt0996505,Uno scandalo in casa Polidor,FALSE,NA,en,0.6,NA,,0,0,0,0
0.155555556,tt0810388,Far and Near,FALSE,NA,en,0.6,NA,1/01/2003,0,0,0,0
0.158333333,,Chuggington - Chuggers on Safari,FALSE,Animation,en,0.6,NA,15/03/2010,0,0,0,0
0.160416667,tt0102611,<U+7537><U+306F><U+3064><U+3089><U+3044><U+3088> <U+5BC5><U+6B21><U+90CE><U+306E><U+544A><U+767D>,FALSE,Comedy,ja,1.204,Japan,23/12/1991,0,0,0,0
0.161111111,tt0040921,The Untamed Breed,FALSE,Western,en,0.6,United States of America,20/10/1948,0,0,0,0
0.1625,,Zorán - Aréna 2014 Egypár barát,FALSE,Music,hu,0.6,NA,1/01/2014,0,0,0,0
0.164583333,,Chicago am Rhein,FALSE,Documentary,de,0.6,NA,19/02/2010,0,0,0,0
0.165972222,tt5135796,<U+041F><U+043E><U+0440><U+0442><U+0444><U+043E><U+043B><U+0438><U+043E>,FALSE,Drama,ru,0.6,Russia,10/06/2015,0,0,6,1
0.166666667,tt3461658,La preuve,FALSE,NA,en,0.6,NA,1/01/2013,0,0,0,0
0.167361111,tt0300244,<U+B0A8><U+ACFC> <U+BD81>,FALSE,Drama,ko,0.841,South Korea,1/01/1965,0,0,0,0
0.168055556,tt1840413,The Towers,FALSE,NA,en,0.6,NA,1/01/1957,0,0,0,0
0.16875,tt4112324,Wandsbek Gartenstück,FALSE,NA,de,0.6,Germany,1/12/1976,0,0,0,0
0.169444444,,<U+041C><U+044B> - <U+0411><U+0435><U+043D><U+0437><U+043E><U+043A><U+043E><U+043B><U+043E><U+043D><U+043A><U+0438>,FALSE,Documentary,ru,0.6,Russia,25/09/2015,0,0,0,0
0.170138889,,Lord Sitke 2008,FALSE,Music,hu,0.6,NA,30/08/2008,0,0,0,0
0.170833333,tt3670330,The Fly,FALSE,Comedy,en,0.6,United Kingdom,9/08/2014,0,0,7,3
0.172916667,tt5250700,Girls Kissing Girls 18,TRUE,Romance,en,0.6,Canada,1/12/2015,0,0,0,0
0.173611111,tt5865582,First Time Here,FALSE,NA,en,0.6,United States of America,18/04/1964,0,0,0,0
0.174305556,,Dog Duet,FALSE,NA,en,0.6,United States of America,1/01/1975,0,0,0,0
0.175,tt4699954,Amor tóxico,FALSE,Thriller,es,1.724,Spain,9/11/2015,0,0,5.1,7
0.175694444,tt4554122,<U+041D><U+0430><U+0441><U+0442><U+044F>,FALSE,Drama,ru,0.6,Russia,10/06/2015,0,0,0,0
0.176388889,tt0981355,V.O.,FALSE,NA,en,0.6,United States of America,1/07/2006,0,0,0,0
